nohup: ignoring input
Started in hybrid online/batch training mode.
Mini-batches (50 sequences each) will be shuffled during training.
Using input noise with a standard deviation of 0.6.
The trained network will be written to 'trained_network.jsn'.
WARNING: The output file 'trained_network.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Training will be stopped after 100 epochs or if there is no new lowest validation error within 20 epochs.
Utilizing the GPU for computations with 50 sequences in parallel.
Normal distribution with mean=0 and sigma=0.1. Random seed: 973930452

Using device #0 (GeForce GTX TITAN Black)
Reading network from 'network2.jsn'... done.

Loading training set '../train_1_speaker.nc' ...
using cache file: /tmp/b4d9-5d2d-9745-194e
... done.
Loaded fraction:  100%
Sequences:        1000
Sequence lengths: 113..216
Total timesteps:  148668

Loading validation set '../val_1_speaker.nc' ...
using cache file: /tmp/256c-f47e-6446-52b2
... done.
Loaded fraction:  100%
Sequences:        102
Sequence lengths: 113..152
Total timesteps:  13878

Creating the neural network... done.
Layers:
(0) input [size: 39]
(1) lstm [size: 100, bias: 1.0, weights: 56300]
(2) lstm [size: 100, bias: 1.0, weights: 80700]
(3) softmax [size: 51, bias: 1.0, weights: 5151]
(4) multiclass_classification [size: 51]
Total weights: 142151


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       100
Max epochs until new best: 20
Validation error every:    1
Test error every:          1
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best 
-------+----------+------------------+------------------+------------------+----------
     0 |      0.8 | 99.31%   587.440 | 99.35%   538.505 |                  |  yes   
     1 |      2.1 | 95.15%   567.346 | 94.89%   496.740 |                  |  yes   
     2 |      2.1 | 88.82%   515.806 | 81.21%   460.571 |                  |  yes   
     3 |      2.1 | 80.30%   479.632 | 82.70%   432.524 |                  |  yes   
     4 |      2.1 | 74.90%   431.273 | 73.37%   385.504 |                  |  yes   
     5 |      2.1 | 68.27%   376.522 | 64.82%   333.530 |                  |  yes   
     6 |      2.1 | 61.21%   318.471 | 60.18%   282.644 |                  |  yes   
     7 |      2.1 | 54.15%   278.583 | 54.22%   252.144 |                  |  yes   
     8 |      2.1 | 49.51%   249.717 | 52.94%   235.214 |                  |  yes   
     9 |      2.1 | 44.53%   224.518 | 43.95%   209.709 |                  |  yes   
    10 |      2.1 | 41.77%   210.845 | 43.77%   201.815 |                  |  yes   
    11 |      2.1 | 39.24%   196.386 | 45.35%   199.978 |                  |  yes   
    12 |      2.1 | 36.57%   183.640 | 40.18%   185.468 |                  |  yes   
    13 |      2.1 | 33.88%   172.341 | 38.75%   174.734 |                  |  yes   
    14 |      2.1 | 33.03%   163.672 | 40.19%   176.651 |                  |  no    
    15 |      2.1 | 31.94%   157.805 | 37.12%   167.710 |                  |  yes   
    16 |      2.1 | 31.35%   155.639 | 40.49%   191.781 |                  |  no    
